prop_pop2017_50_and_over,normalized_hospice_rate,2017_Quality_of_Life_Z-Score,2017_HealthBehaviors_Z-Score,2017_ClinicalCare_Z-Score,2017_Prop_Fair_Poor_Health,2017_Prop_Smokers,2017_Prop_Obese,2017_Food_Environ_Index_Z-Score,2017_Prop_Physically_Inactive
0.412762107,0,-0.12,-0.09,-0.17,0.200266712,0.215109579,0.317,-0.333233089,0.331
0.33975518,0,0.14,0.15,0.09,0.22398967,0.242691484,0.321,-0.035982916,0.365
0.464281246,0,0.07,0.12,0.08,0.237142351,0.240979531,0.324,0.261267258,0.378
0.410545628,0,-0.28,0.23,0.14,0.22291027,0.240049022,0.327,-0.333233089,0.362
0.414310893,0.769651117,-0.41,-0.12,-0.17,0.184101492,0.197807789,0.34,-0.035982916,0.318
0.364607806,1.894657067,-0.12,0.02,-0.04,0.193623629,0.21036934,0.349,0.707142517,0.348
0.415430791,0,0.59,0.07,0.08,0.231536234,0.242528096,0.325,0.707142517,0.311
0.400534609,0,-0.03,-0.14,0.09,0.193545025,0.215262812,0.333,-1.224983609,0.31
0.409511845,7.178750897,-0.02,0.02,-0.03,0.211168209,0.215482155,0.324,0.112642171,0.381
0.432481235,1.770287495,0.51,0.08,0.07,0.239494002,0.243493924,0.318,1.747518124,0.34
0.373022564,0,-0.5,-0.15,-0.04,0.174564769,0.199921275,0.338,-1.968109042,0.326
0.358023249,0,-0.38,-0.08,-0.03,0.215265405,0.21237983,0.32,0.112642171,0.298
0.410199627,3.163655921,0.33,0.02,0.08,0.204757016,0.235901423,0.308,0.855767604,0.326
0.461897962,0,-0.03,-0.04,0.18,0.222878304,0.229757987,0.313,-0.630483262,0.329
0.434750816,2.812464844,0.35,0.21,0.03,0.221035463,0.241768,0.344,1.450267951,0.413
0.374877349,1.817058546,-0.2,0.11,-0.01,0.199058791,0.222953256,0.359,-0.035982916,0.339
0.388516548,0,0,0.07,0.11,0.24009434,0.235140114,0.33,-0.630483262,0.321
0.514607807,1.692677477,-0.14,-0.22,-0.11,0.193650696,0.195194598,0.292,-0.630483262,0.33
0.293532086,1.157335409,-0.48,-0.12,-0.11,0.176702997,0.202246543,0.309,1.004392691,0.243
0.448642669,0,-0.24,-0.02,0.09,0.194024217,0.207819308,0.363,-0.184608002,0.353
0.397592182,0,0.15,-0.04,0.11,0.211502428,0.214521491,0.318,-0.927733435,0.329
0.36768017,0,-0.27,0.11,-0.04,0.19225713,0.227827448,0.359,-0.630483262,0.378
0.371886928,0,0.53,0.24,-0.05,0.225122922,0.2347467,0.372,1.89614321,0.342
0.446398242,2.497752023,-0.42,-0.08,-0.12,0.195943577,0.201947534,0.311,-0.035982916,0.314
0.436314513,5.513895015,0.36,0.07,0.16,0.236043382,0.242918862,0.355,-0.630483262,0.292
0.405934889,0,-0.06,-0.15,-0.04,0.195716438,0.203179414,0.309,-0.333233089,0.29
0.374783653,0,0.24,0.03,-0.11,0.221426363,0.219598369,0.323,0.855767604,0.341
0.420904051,0,-0.06,-0.15,-0.07,0.202494376,0.202231791,0.321,-0.035982916,0.303
0.426460422,0,0.08,0.12,0.04,0.205511521,0.235619304,0.35,-1.076358522,0.352
0.430792931,0,0.05,-0.08,-0.04,0.201946225,0.221896085,0.298,-0.035982916,0.36
0.41157099,0,0.86,0.09,0.16,0.251410549,0.252715849,0.313,0.558517431,0.372
0.378953592,1.555766448,0.18,0.07,0.01,0.226038659,0.237761419,0.308,0.707142517,0.3
0.3718561,1.382693653,0.06,-0.13,-0.21,0.197479964,0.213507203,0.302,1.301642864,0.272
0.431969697,15.15151515,0.51,0.14,0.26,0.244716485,0.257481957,0.306,0.112642171,0.358
0.378079931,0,0.81,0.26,-0.04,0.274879149,0.244806542,0.378,2.78789373,0.325
0.44196394,0,0.27,0.09,0.03,0.225755151,0.247940208,0.319,0.261267258,0.33
0.426468765,0,0.02,-0.03,-0.04,0.204532364,0.221090581,0.329,-0.035982916,0.388
0.404768679,0,1,0.29,-0.02,0.28212864,0.239404639,0.384,3,0.358
0.390292242,0,0.34,0.07,0.03,0.219237471,0.220123423,0.348,0.261267258,0.365
0.445762712,3.081664099,0.03,0.03,-0.07,0.212228625,0.217046373,0.337,0.707142517,0.369
0.384612291,0,0.04,0.08,0.07,0.214629445,0.239681227,0.321,-0.630483262,0.327
0.416778278,0,-0.22,0.06,0.09,0.225655486,0.231745479,0.332,-0.184608002,0.309
0.41733391,0,-0.34,-0.07,0.06,0.180274616,0.197698514,0.356,-0.481858176,0.322
0.466386914,0,0.26,0.1,0.05,0.235467478,0.247733552,0.347,-0.630483262,0.37
0.417385325,0,-0.41,-0.12,-0.05,0.186205561,0.205193468,0.342,-0.779108349,0.321
0.440167317,0,0.18,-0.04,0.01,0.229495836,0.24355784,0.292,-0.184608002,0.331
0.344312129,1.082579137,-0.45,-0.27,-0.3,0.17662796,0.186772453,0.297,0.558517431,0.267
0.348687734,0,0.71,0.58,0.07,0.263217335,0.271184257,0.375,1.301642864,0.317
0.35961858,0,0.91,0.47,0.01,0.268989402,0.274470217,0.383,2.193393384,0.358
0.375057609,0,0.04,-0.03,0,0.212335418,0.220041868,0.34,-0.481858176,0.354
0.422185293,0,-0.18,-0.06,0.12,0.206113495,0.213815046,0.343,-0.630483262,0.34
0.414417351,2.962875174,0.05,-0.05,-0.07,0.200169215,0.211509289,0.321,-0.481858176,0.348
0.475993251,0,-0.31,-0.33,-0.14,0.18441588,0.186860376,0.275,-0.333233089,0.284
0.350595955,0,0.04,0.11,0.25,0.218821331,0.237724673,0.342,-1.076358522,0.321
0.367573712,2.04827791,0.01,-0.02,-0.27,0.219079702,0.211810793,0.343,1.747518124,0.283
0.414459103,0,0.16,-0.01,0.01,0.196404098,0.21996021,0.329,-0.333233089,0.328
0.36603808,0,0.01,-0.04,0.04,0.209652732,0.219140773,0.313,-0.927733435,0.331
0.359330751,0,-0.09,-0.04,-0.16,0.203232599,0.213684194,0.336,-0.333233089,0.285
0.409648808,1.891181421,-0.1,-0.02,0.05,0.210063246,0.216706244,0.337,-0.184608002,0.351
0.411205968,0,0.05,0.17,-0.01,0.240455838,0.23866279,0.386,0.707142517,0.354
0.427742791,0,0.34,-0.03,0.06,0.216432532,0.237982792,0.279,-0.630483262,0.32
0.418533737,0,0.2,0.18,0.06,0.231350389,0.243354593,0.355,-0.630483262,0.352
0.239042471,0.499545414,-0.34,0.1,-0.07,0.218245191,0.241736655,0.29,1.301642864,0.258
0.437030075,0,-0.88,-0.21,-0.01,0.164899624,0.185371563,0.32,-0.035982916,0.311
0.387317434,0,0.18,0.01,0.04,0.210868127,0.239388415,0.303,0.707142517,0.324
0.406483462,3.291097581,-0.03,0.03,-0.07,0.207448689,0.223545713,0.336,0.409892344,0.38
0.413001999,0,0.04,-0.09,0.04,0.206889018,0.219757501,0.33,-0.779108349,0.351
0.420689655,12.53918495,-0.24,0,0.31,0.222624383,0.233163997,0.314,-0.035982916,0.342
0.506012222,0,-0.57,-0.05,0.18,0.194746246,0.204336371,0.331,-1.076358522,0.347
0.432893716,0,0.07,0.1,0.05,0.203749259,0.229993618,0.349,-1.224983609,0.332
0.340615908,1.287432088,-0.14,0.01,-0.09,0.210216212,0.228790995,0.326,1.004392691,0.273
0.387751981,0,0.1,-0.01,0.03,0.215752242,0.225660134,0.304,0.112642171,0.383
0.461365865,0,0.07,-0.1,-0.07,0.194316579,0.205775699,0.341,0.261267258,0.351
0.35552959,2.849936589,-0.49,-0.06,-0.06,0.180751143,0.198044257,0.356,-1.670858869,0.33
0.270638832,0.315301255,-0.55,-0.21,-0.15,0.171011445,0.182112186,0.33,-0.481858176,0.261
0.363499932,0,0.48,0.15,0.16,0.243494684,0.252050823,0.289,0.707142517,0.388
0.417888165,0,0.23,-0.13,0.05,0.201310934,0.214365359,0.283,-1.224983609,0.321
0.409656077,0,-0.03,-0.14,0.06,0.206785299,0.198724088,0.306,-0.481858176,0.373
0.31978172,0.533640141,0.28,0.01,-0.09,0.219042298,0.203729488,0.326,2.639268644,0.283
0.387095131,0,-0.32,0,0.04,0.177527814,0.204120748,0.368,-1.373608695,0.32
0.430849869,0,-0.35,-0.06,0.04,0.187681277,0.204260886,0.314,-0.184608002,0.34
0.432322885,0.63630232,-0.34,-0.18,-0.23,0.186251499,0.203363994,0.301,1.004392691,0.333
0.356577406,0.54482552,-0.6,-0.25,-0.14,0.167161396,0.193568032,0.297,-0.927733435,0.293
0.345468175,0,-0.16,0.11,-0.08,0.200269239,0.223771366,0.354,0.558517431,0.342
0.316770802,0,0.33,0.03,0.2,0.201265066,0.222856211,0.329,-0.927733435,0.323
0.454924264,0,0.26,-0.09,0.04,0.216018317,0.217745424,0.334,-0.333233089,0.32
0.405462401,0,0.4,0.08,0.1,0.212902906,0.239552549,0.31,-0.927733435,0.376
0.462034134,0,0.22,0.06,0.11,0.206975019,0.224153045,0.321,-0.779108349,0.335
0.374258936,0,0.32,-0.01,0.07,0.236582124,0.23046586,0.314,-0.779108349,0.262
0.378127787,1.564871759,-0.26,-0.07,-0.3,0.194171868,0.219026253,0.322,-0.035982916,0.309
0.401254297,6.030271965,-0.09,0.12,0.16,0.228286193,0.242316826,0.327,0.707142517,0.375
0.372259052,0,0.1,0.01,-0.07,0.216926244,0.22120899,0.309,0.558517431,0.344
0.409748439,0,-0.03,0.02,-0.02,0.216578924,0.226719972,0.312,-0.035982916,0.34
0.330093655,0.883950552,-1.55,-0.66,-0.5,0.119154652,0.147006551,0.259,-2.562609388,0.202
0.357683118,0,-0.74,-0.27,-0.13,0.150735177,0.182586307,0.317,-1.373608695,0.276
