,county,pop2010all,pop2014all,pop2017all,median_age_2010,median_age_2014,median_age_2017,fips,met_healthy_people_obj,age_adjust_death_rate,death_lower_95_CI,death_upper_95_CI,avg_ann_count,recent_trend,recent_5yr_trend,5yr_lower_95_CI,5yr_upper_95_CI,hospice_count,pop2010_50_and_over,pop2014_50_and_over,pop2017_50_and_over,percent_pop2010_50_and_over,percent_pop2014_50_and_over,percent_pop2017_50_and_over,normalized_hospice_rate,FIPS,State,2010_HealthOutcomes_Z-Score,2010_HealthOutcomes_Rank,2010_HealthFactors_Z-Score,2010_HealthFactors_Rank,2010_Mortality_Z-Score,2010_Mortality_Rank,2010_Morbidity_Z-Score,2010_Morbidity_Rank,2010_HealthBehaviors_Z-Score,2010_HealthBehaviors_Rank,2010_ClinicalCare_Z-Score,2010_ClinicalCare_Rank,2014_HealthOutcomes_Z-Score,2014_HealthOutcomes_Rank,2014_HealthFactors_Z-Score,2014_HealthFactors_Rank,2014_Length_of_Life_Z-Score,2014_Length_of_Life_Rank,2014_Quality_of_Life_Z-Score,2014_Quality_of_Life_Rank,2014_HealthBehaviors_Z-Score,2014_HealthBehaviors_Rank,2014_ClinicalCare_Z-Score,2014_ClinicalCare_Rank,2017_HealthOutcomes_Z-Score,2017_HealthOutcomes_Rank,2017_HealthFactors_Z-Score,2017_HealthFactors_Rank,2017_Length_of_Life_Z-Score,2017_Length_of_Life_Rank,2017_Quality_of_Life_Z-Score,2017_Quality_of_Life_Rank,2017_HealthBehaviors_Z-Score,2017_HealthBehaviors_Rank,2017_ClinicalCare_Z-Score,2017_ClinicalCare_Rank,2010_Percent_Fair_Poor_Health,2010_Percent_Smokers,2010_Percent_Obese,2010_Percent_Uninsured,2010_Air_Pollution_Part_Matter_Z-Score,2014_Percent_Fair_Poor_Health,2014_Percent_Smokers,2014_Percent_Obese,2014_Food_Environ_Index_Z-Score,2014_Percent_Physically_Inactive,2014_Percent_Uninsured,2014_Air_Pollution_Part_Matter_Z-Score,2017_Percent_Fair_Poor_Health,2017_Percent_Smokers,2017_Percent_Obese,2017_Food_Environ_Index_Z-Score,2017_Percent_Physically_Inactive,2017_Percent_Uninsured,2017_Air_Pollution_Part_Matter_Z-Score
0,Anderson,75112,75131,76257,42.6,43.3,43.2,47001,No,180.6,169.1,192.7,195,falling,-0.7,-1.2,-0.2,0,29570,30785,31476,39.367877299999996,40.97509683,41.27621071,0.0,47001,Tennessee,-0.21,36,-0.52,8,-0.25,24,0.04,56,-0.16,14,-0.18,7,-0.19,42,-0.53,12,-0.25,29,0.06,58,-0.17,11,-0.22,6,-0.17,37,-0.31,19,-0.05,46,-0.12,32,-0.09,22,-0.17,8,24.08,23.76,28.6,14.0,-0.80732791,19.4,20.6,30.9,-0.585173462,34.4,15.41486498,-0.681628589,20.02667118,21.51095788,31.7,-0.333233089,33.1,12.79332465,1.764501826
1,Bedford,45086,46259,48117,36.5,37.2,37.5,47003,No,182.7,166.1,200.6,92,falling,-0.7,-1.4,-0.1,0,14068,15373,16348,31.2025906,33.23245206,33.97551801,0.0,47003,Tennessee,-0.6,18,0.08,55,-0.25,25,-0.35,9,-0.06,33,0.19,92,-0.27,31,0.27,72,-0.27,26,0.0,50,0.1,77,0.1,81,-0.08,45,0.2,66,-0.22,31,0.14,64,0.15,85,0.09,78,15.33,,28.2,20.4,-0.385920484,22.3,25.2,36.0,0.214985638,33.3,20.58748404,0.391542126,22.39896701,24.26914838,32.1,-0.035982916000000004,36.5,18.59230419,0.462178059
2,Benton,16511,16176,15986,45.6,46.7,47.4,47005,No,233.9,207.1,263.6,59,stable,0.3,-0.4,1.1,0,7159,7327,7422,43.35897281,45.29549951,46.42812461,0.0,47005,Tennessee,1.35,92,0.17,66,0.84,92,0.51,90,0.04,61,0.0,50,0.84,86,0.31,76,0.93,92,-0.09,39,0.08,72,0.06,68,1.06,86,0.37,79,0.99,94,0.07,58,0.12,82,0.08,75,24.37,,29.7,14.1,-0.385920484,20.0,25.1,34.0,0.049885255999999996,35.2,18.59751419,2.092416466,23.71423512,24.09795309,32.4,0.261267258,37.8,15.83138927,-1.0261919609999999
3,Bledsoe,12882,14419,14717,42.5,43.3,43.9,47007,No,170.0,143.5,200.6,31,falling,-1.3,-2.3,-0.3,0,4865,5685,6042,37.76587486,39.42714474,41.05456275,0.0,47007,Tennessee,-0.64,15,0.22,71,-0.59,10,-0.05,45,0.07,71,0.14,87,-0.21,37,0.64,90,-0.38,20,0.17,70,0.24,88,0.13,84,-0.7,17,0.74,92,-0.42,18,-0.28,21,0.23,90,0.14,85,23.48,,32.3,17.1,-0.80732791,27.0,38.6,31.8,-0.35384415,37.2,21.20871255,-0.074173467,22.29102697,24.00490218,32.7,-0.333233089,36.2,17.20212766,-0.8401457090000001
4,Blount,123213,125827,129929,41.5,43.1,43.8,47009,No,168.2,159.4,177.4,283,falling,-0.9,-1.3,-0.4,1,46057,50439,53831,37.37998425,40.08599108,41.43108929,0.769651117,47009,Tennessee,-1.04,5,-0.38,16,-0.71,7,-0.33,10,-0.08,28,-0.13,10,-1.08,3,-0.78,6,-0.62,6,-0.46,7,-0.19,9,-0.14,10,-0.94,10,-0.63,9,-0.53,11,-0.41,12,-0.12,18,-0.17,7,19.93,26.28,29.9,13.1,0.456894367,15.0,20.9,31.9,-0.422861626,30.3,16.14803016,-0.7423741009999999,18.41014921,19.78077893,34.0,-0.035982916000000004,31.8,13.08752584,0.648224311
5,Bradley,99096,102816,105560,38.2,39.0,39.7,47011,No,183.0,172.2,194.3,220,falling,-1.0,-1.4,-0.5,2,33080,36213,38488,33.38177121,35.2211718,36.46078060000001,1.8946570669999998,47011,Tennessee,-0.72,13,-0.46,11,-0.52,11,-0.2,27,-0.28,3,-0.07,20,-0.6,20,-0.21,27,-0.54,9,-0.05,41,-0.09,20,-0.05,31,-0.55,23,-0.19,28,-0.44,16,-0.12,33,0.02,57,-0.04,35,18.87,21.56,27.6,14.7,-0.385920484,19.5,25.5,29.9,0.676585601,33.4,18.31153532,-0.560137565,19.36236294,21.03693402,34.9,0.7071425170000001,34.8,15.67260613,1.392409321
6,Campbell,40735,39895,39648,41.9,43.3,44.0,47013,No,219.2,201.8,237.7,124,stable,-0.4,-0.8,0.0,0,15628,16126,16471,38.36504235,40.4211054,41.5430791,0.0,47013,Tennessee,0.68,82,0.09,58,0.17,64,0.51,91,-0.03,39,-0.04,35,1.15,91,0.39,82,0.52,84,0.63,92,0.06,67,0.03,57,1.19,89,0.51,85,0.6,84,0.59,90,0.07,64,0.08,74,30.76,27.2,30.7,10.6,-0.80732791,35.4,28.6,33.4,0.666515569,37.7,16.5522433,-0.965107646,23.15362341,24.25280961,32.5,0.7071425170000001,31.1,15.45237946,0.462178059
7,Cannon,13801,13614,14216,41.5,42.6,42.5,47015,No,202.4,174.2,234.3,38,stable,-0.2,-1.1,0.7,0,5087,5353,5694,36.85964785,39.31981783,40.05346089,0.0,47015,Tennessee,-0.69,14,-0.08,37,-0.17,36,-0.52,2,-0.17,11,0.12,80,-0.27,32,-0.06,39,-0.32,24,0.05,56,-0.07,28,0.05,63,0.6,74,-0.1,36,0.63,86,-0.03,42,-0.14,14,0.09,79,13.22,,28.1,17.6,-0.80732791,20.0,27.6,32.3,-1.285963711,34.6,16.99639497,0.7762637029999999,19.35450249,21.52628115,33.3,-1.2249836090000001,31.0,15.31716919,-0.654099456
8,Carroll,28448,28358,27860,42.0,42.2,42.7,47017,No,221.8,201.2,244.1,89,stable,-0.2,-0.7,0.2,2,10994,11271,11409,38.64595051,39.74539812,40.95118449,7.1787508970000005,47017,Tennessee,0.92,89,-0.03,44,0.7,88,0.23,77,-0.05,34,0.0,53,0.38,72,0.07,52,0.28,76,0.09,63,0.06,70,-0.06,28,0.16,58,0.12,56,0.18,65,-0.02,44,0.02,55,-0.03,39,23.56,26.12,29.0,14.7,-0.385920484,20.3,24.6,35.3,-0.098261334,37.8,16.13089168,1.505209849,21.11682091,21.54821552,32.4,0.112642171,38.1,13.71287806,-0.282006951
9,Carter,57340,56270,56488,42.3,44.3,45.3,47019,No,176.2,163.4,189.9,145,falling,-1.0,-1.6,-0.4,1,22291,23586,24430,38.875130799999994,41.91576328,43.2481235,1.770287495,47019,Tennessee,0.05,49,-0.06,42,-0.24,28,0.29,82,0.05,65,-0.02,43,0.12,55,-0.11,35,-0.12,38,0.24,76,-0.01,47,0.09,77,0.2,60,0.14,59,-0.32,29,0.51,88,0.08,69,0.07,71,25.94,29.32,32.0,11.9,-0.385920484,22.5,31.4,30.0,1.342386446,32.7,18.04179466,-1.4510717430000002,23.94940023,24.34939235,31.8,1.747518124,34.0,15.71322853,-1.0261919609999999
