county,pop2010all,pop2014all,pop2017all,pop2010_50to54,pop2014_50to54,pop2017_50to54,pop2010_55to59,pop2014_55to59,pop2017_55to59,pop2010_60to64,pop2014_60to64,pop2017_60to64,pop2010_65to69,pop2014_65to69,pop2017_65to69,pop2010_70to74,pop2014_70to74,pop2017_70to74,pop2010_75to79,pop2014_75to79,pop2017_75to79,pop2010_80to84,pop2014_80to84,pop2017_80to84,pop2010_85over,pop2014_85over,pop2017_85over,median_age_2010,median_age_2014,median_age_2017,fips,met_healthy_people_obj,age_adjust_death_rate,death_lower_95_CI,death_upper_95_CI,avg_ann_count,recent_trend,recent_5yr_trend,5yr_lower_95_CI,5yr_upper_95_CI,hospice_count
Anderson,75112,75131,76257,5850,5690,5296,5577,5689,5643,5068,5307,5442,3839,4512,4871,2856,3270,3765,2276,2327,2501,1969,1779,1785,2135,2211,2173,42.6,43.3,43.2,47001,No,180.6,169.1,192.7,195,falling,-0.7,-1.2,-0.2,0
Bedford,45086,46259,48117,3043,3207,3239,2646,2938,3143,2515,2577,2705,2027,2322,2501,1442,1765,1988,992,1156,1321,756,729,811,647,679,640,36.5,37.2,37.5,47003,No,182.7,166.1,200.6,92,falling,-0.7,-1.4,-0.1,0
Benton,16511,16176,15986,1259,1204,1179,1224,1239,1206,1363,1188,1246,1095,1255,1166,880,952,1075,562,681,717,414,399,418,362,409,415,45.6,46.7,47.4,47005,No,233.9,207.1,263.6,59,stable,0.3,-0.4,1.1,0
Bledsoe,12882,14419,14717,1005,1216,1185,903,1100,1197,951,935,995,713,866,892,537,663,732,344,421,510,234,275,267,178,209,264,42.5,43.3,43.9,47007,No,170,143.5,200.6,31,falling,-1.3,-2.3,-0.3,0
Blount,123213,125827,129929,9152,9658,9522,8657,9094,9615,8310,8538,9116,6660,7873,8382,4870,5955,6808,3468,4074,4663,2550,2591,2939,2390,2656,2786,41.5,43.1,43.8,47009,No,168.2,159.4,177.4,283,falling,-0.9,-1.3,-0.4,1
Bradley,99096,102816,105560,6967,7306,7216,6177,6774,7199,5874,5884,6333,4727,5469,5657,3512,4143,4790,2625,2968,3303,1752,1955,2118,1446,1714,1872,38.2,39,39.7,47011,No,183,172.2,194.3,220,falling,-1,-1.4,-0.5,2
Campbell,40735,39895,39648,2883,2863,2866,2864,2810,2719,2837,2743,2815,2402,2496,2543,1815,2079,2178,1304,1481,1564,817,913,967,706,741,819,41.9,43.3,44,47013,No,219.2,201.8,237.7,124,stable,-0.4,-0.8,0,0
Cannon,13801,13614,14216,1093,1080,1081,930,994,1059,838,901,983,733,774,831,548,599,684,431,455,470,257,288,307,257,262,279,41.5,42.6,42.5,47015,No,202.4,174.2,234.3,38,stable,-0.2,-1.1,0.7,0
Carroll,28448,28358,27860,1966,2044,1959,1945,1944,1968,1978,1816,1853,1616,1825,1745,1157,1320,1529,968,987,994,695,674,691,669,661,670,42,42.2,42.7,47017,No,221.8,201.2,244.1,89,stable,-0.2,-0.7,0.2,2
Carter,57340,56270,56488,4311,4195,4145,4099,4273,4124,4018,3918,4100,3236,3700,3814,2514,2873,3098,1725,1992,2320,1287,1326,1434,1101,1309,1395,42.3,44.3,45.3,47019,No,176.2,163.4,189.9,145,falling,-1,-1.6,-0.4,1
Cheatham,39122,39604,40330,3249,3397,3280,2723,2974,3224,2372,2532,2724,1553,2080,2248,1145,1289,1550,742,904,963,503,530,594,360,395,461,39.4,40.5,40.9,47021,No,239.6,217.8,263,97,stable,-0.6,-1.4,0.3,0
