county,pop2010all,pop2014all,pop2017all,median_age_2010,median_age_2014,median_age_2017,fips,met_healthy_people_obj,age_adjust_death_rate,death_lower_95_CI,death_upper_95_CI,avg_ann_count,recent_trend,recent_5yr_trend,5yr_lower_95_CI,5yr_upper_95_CI,hospice_count,pop2010_50_and_over,pop2014_50_and_over,pop2017_50_and_over,percent_pop2010_50_and_over,percent_pop2014_50_and_over,percent_pop2017_50_and_over,normalized_hospice_rate
Anderson,75112,75131,76257,42.6,43.3,43.2,47001,No,180.6,169.1,192.7,195,falling,-0.7,-1.2,-0.2,0,29570,30785,31476,39.3678773,40.97509683,41.27621071,0
Bedford,45086,46259,48117,36.5,37.2,37.5,47003,No,182.7,166.1,200.6,92,falling,-0.7,-1.4,-0.1,0,14068,15373,16348,31.2025906,33.23245206,33.97551801,0
Benton,16511,16176,15986,45.6,46.7,47.4,47005,No,233.9,207.1,263.6,59,stable,0.3,-0.4,1.1,0,7159,7327,7422,43.35897281,45.29549951,46.42812461,0
Bledsoe,12882,14419,14717,42.5,43.3,43.9,47007,No,170,143.5,200.6,31,falling,-1.3,-2.3,-0.3,0,4865,5685,6042,37.76587486,39.42714474,41.05456275,0
Blount,123213,125827,129929,41.5,43.1,43.8,47009,No,168.2,159.4,177.4,283,falling,-0.9,-1.3,-0.4,1,46057,50439,53831,37.37998425,40.08599108,41.43108929,0.769651117
Bradley,99096,102816,105560,38.2,39,39.7,47011,No,183,172.2,194.3,220,falling,-1,-1.4,-0.5,2,33080,36213,38488,33.38177121,35.2211718,36.4607806,1.894657067
Campbell,40735,39895,39648,41.9,43.3,44,47013,No,219.2,201.8,237.7,124,stable,-0.4,-0.8,0,0,15628,16126,16471,38.36504235,40.4211054,41.5430791,0
Cannon,13801,13614,14216,41.5,42.6,42.5,47015,No,202.4,174.2,234.3,38,stable,-0.2,-1.1,0.7,0,5087,5353,5694,36.85964785,39.31981783,40.05346089,0
Carroll,28448,28358,27860,42,42.2,42.7,47017,No,221.8,201.2,244.1,89,stable,-0.2,-0.7,0.2,2,10994,11271,11409,38.64595051,39.74539812,40.95118449,7.178750897
Carter,57340,56270,56488,42.3,44.3,45.3,47019,No,176.2,163.4,189.9,145,falling,-1,-1.6,-0.4,1,22291,23586,24430,38.8751308,41.91576328,43.2481235,1.770287495
